language,networks,lattices
abk,0.9107268312523881,0.9355313070940497
ace,0.8202871747668156,0.8796091200728966
acu,0.667195942891871,0.8084410905715735
ada,-1.5842510734089577,-0.5796383440708852
ady,0.8990156200401577,0.93174359881026
afr,0.4119561396995124,0.6285943417242148
agr,0.847528796616686,0.8752276816608997
ajg,0.23978418415375713,0.5068179534990637
amc,0.6639147922999958,0.7674199307202998
amr,0.5860130947795945,0.7361002766009594
qva,0.8565246460505338,0.8996879905760419
ami,-1.0746567717996287,-0.5741406645302748
njo,0.7961537571591404,0.8608855654224459
arl,0.2822010744361323,0.533466829433965
qxu,0.861539960639512,0.9031563686185
cni,0.5793405669157492,0.6680737834948502
prq,0.6349112426035504,0.7447205785667323
aii,0.7557847449605517,0.8449935643518572
ast,0.5225758282535795,0.6873634283034638
kwi,0.8598974631410756,0.89521481106032
quy,0.8584136826989877,0.9056053121604489
bba,0.586545150606314,0.7599191879461313
ban,0.7203536696423405,0.8320982916525802
rmn,0.6686328199445983,0.804665972299169
bam,0.4105506908309712,0.6246126005885766
bax,0.5136198615269396,0.7178782915313963
bci,-0.9600024037017004,-0.29094765939546885
bfa,0.09141126141750489,0.44229020696034227
eus,0.7770363190458621,0.8401303874875412
bel,0.724803168859113,0.8320883661792753
bem,0.8726792422299594,0.9115085125418524
ben,0.8442908937224145,0.8976128583965207
btb,0.6790207574972114,0.8029339209460438
bho,0.17044783767105687,0.4073076849117613
bin,-0.23043544813157357,0.18421090274690932
bis,-0.6189615579502389,-0.01525120863790519
qug,0.868554879215502,0.8995924719084293
boa,0.8578920918591799,0.8942125959942143
gax,0.8030873802026279,0.8552352917993523
nku,-0.5420836084210826,0.06727353305971606
bre,0.6070905494680949,0.7803503913677126
bug,0.5929823780938325,0.7541964738560932
bul,0.44895743052414794,0.7052531836270197
mya,0.9458949099312234,0.9545642198684792
qvc,0.8838598088302231,0.9083771576625469
qud,0.8512228941828995,0.8772344548765412
cbu,0.8433823976808819,0.8914741614464322
cot,0.7999852507490345,0.8397737088325262
hns,-0.2783753537662945,0.1582404928007055
cbr,0.376761100077576,0.6279184837875282
cbs,0.633328861128089,0.7440142845548252
cat,0.4529320790816327,0.6853985969387755
ceb,-1.0352181362567574,-0.4692927472516595
ayr,0.9252643549149338,0.9324085834120983
dga,-0.9863395337092837,-0.116488511068092
knc,0.8824713048120557,0.9121716129971609
khm,0.9080788812877041,0.9095849679264454
ckb,0.7141208269413397,0.8152516619183285
maz,-0.3228877412820427,0.25706200224458253
tzm,0.6139156140822359,0.7561381349099704
ccp,0.850139896156092,0.8906928829278651
cha,0.07962478530849515,0.37930104373100804
cbi,0.6448910077570249,0.7753180950502808
cic,0.7735212368995912,0.8213924470246241
csa,0.43685068473022515,0.664746969820985
qxa,0.8687147043412448,0.9058929922956005
cjk,0.6148093037825985,0.7771305505521184
chk,0.012781118470810426,0.5019806748539082
bcl,-0.36122526490522,0.15537380638711595
cos,0.501209123462907,0.6676501058510877
hrv,0.7259934213866994,0.8194814969448379
zam,-1.4992594453625632,-0.7788671507414195
quz,0.9203991456881763,0.9355162634361542
ces,0.7895100268496036,0.8583201654655002
dag,0.4001662010253081,0.6711085456485663
dan,0.6295825651574841,0.7982999864154166
ddn,0.368843228901538,0.6095891115327462
div,0.924153978816361,0.946625179369133
tbz,0.6487254172619434,0.7804990427429593
nld,0.449119216257317,0.6245669191611488
dyu,0.2819808996027382,0.5655087965558372
dzo,0.22109785742551868,0.29300695347391037
